workerid,proliferate.condition,audio,bias,first,form,image,lbr_after,lbr_before,nameCategory,region,response,response_correct,rt,slide_number,slide_type,trial_id,trial_no,type,word_idx,error
247,pilot,,,,,Linda,,,,,"[0, 'Linda']",,,1,bot_check,,,,,
247,pilot,,,Paul,He,,,,,filler,,1,703,,,running,0,practice,0,
247,pilot,,,Paul,decided,,,,,filler,,1,208,,,running,0,practice,1,
247,pilot,,,Paul,to,,,,,filler,,1,368,,,running,0,practice,2,
247,pilot,,,Paul,take,,,,,filler,,1,184,,,running,0,practice,3,
247,pilot,,,Paul,advantage,,,,,filler,,1,704,,,running,0,practice,4,
247,pilot,,,Paul,of,,,,,filler,,1,248,,,running,0,practice,5,
247,pilot,,,Paul,the,,,,,filler,,1,400,,,running,0,practice,6,
247,pilot,,,Paul,weather,,,,,filler,,1,224,,,running,0,practice,7,
247,pilot,,,Paul,and,,,,,filler,,1,280,,,running,0,practice,8,
247,pilot,,,Paul,go,,,,,filler,,1,296,,,running,0,practice,9,
247,pilot,,,Paul,for,,,,,filler,,1,233,,,running,0,practice,10,
247,pilot,,,Paul,a,,,,,filler,,1,239,,,running,0,practice,11,
247,pilot,,,Paul,run,,,,,filler,,1,360,,,running,0,practice,12,
247,pilot,,,Paul,today.,,,,,filler,,1,304,,,running,0,practice,13,
247,pilot,,,Paul,He,,,,,filler,,1,392,,,groceries,0,practice,0,
247,pilot,,,Paul,really,,,,,filler,,1,448,,,groceries,0,practice,1,
247,pilot,,,Paul,wanted,,,,,filler,,1,544,,,groceries,0,practice,2,
247,pilot,,,Paul,to,,,,,filler,,1,384,,,groceries,0,practice,3,
247,pilot,,,Paul,pick,,,,,filler,,1,472,,,groceries,0,practice,4,
247,pilot,,,Paul,up,,,,,filler,,1,416,,,groceries,0,practice,5,
247,pilot,,,Paul,some,,,,,filler,,1,360,,,groceries,0,practice,6,
247,pilot,,,Paul,eggs,,,,,filler,,1,264,,,groceries,0,practice,7,
247,pilot,,,Paul,and,,,,,filler,,1,400,,,groceries,0,practice,8,
