workerid,proliferate.condition,condition,error
718,norming,list1_r,
901,norming,list1,
711,norming,list2,
837,norming,list2_r,
756,norming,list2,
820,norming,list2_r,
895,norming,list2,
804,norming,list2_r,
767,norming,list1,
851,norming,list1,
812,norming,list1_r,
796,norming,list1,
743,norming,list2,
803,norming,list1,
899,norming,list2,
696,norming,list2,
770,norming,list1,
894,norming,list2_r,
807,norming,list2_r,
786,norming,list1,
871,norming,list1,
831,norming,list1,
832,norming,list1,
840,norming,list1_r,
878,norming,list2,
827,norming,list1_r,
813,norming,list1,
716,norming,list1,
777,norming,list1_r,
860,norming,list1_r,
842,norming,list2,
750,norming,list1_r,
877,norming,list2_r,
713,norming,list1_r,
725,norming,list2,
738,norming,list1,
892,norming,list2,
846,norming,list1,
808,norming,list2,
739,norming,list1_r,
858,norming,list2,
825,norming,list1_r,
822,norming,list1_r,
715,norming,list1,
852,norming,list2_r,
798,norming,list2,
816,norming,list1,
749,norming,list2_r,
771,norming,list2_r,
801,norming,list2_r,
760,norming,list1_r,
732,norming,list2_r,
758,norming,list2,
755,norming,list1_r,
883,norming,list2,
898,norming,list2_r,
792,norming,list2,
829,norming,list1_r,
780,norming,list2,
694,norming,list1_r,
828,norming,list1_r,
784,norming,list1_r,
722,norming,list1_r,
902,norming,list1_r,
834,norming,list1_r,
884,norming,list1_r,
815,norming,list2_r,
712,norming,list2,
904,norming,list2_r,
876,norming,list2_r,
867,norming,list2,
847,norming,list1_r,
778,norming,list2,
817,norming,list2_r,
823,norming,list2_r,
695,norming,list1_r,
809,norming,list2,
785,norming,list1_r,
714,norming,list1_r,
839,norming,list1,
857,norming,list1_r,
737,norming,list2,
704,norming,list2_r,
751,norming,list2_r,
841,norming,list2,
875,norming,list1_r,
885,norming,list2,
719,norming,list2_r,
775,norming,list1_r,
853,norming,list2_r,
850,norming,list2_r,
805,norming,list2,
799,norming,list1_r,
726,norming,list2_r,
835,norming,list2_r,
761,norming,list2,
700,norming,list1_r,
873,norming,list2,
886,norming,list2,
872,norming,list1_r,
806,norming,list2_r,
724,norming,list1_r,
848,norming,list2,
795,norming,list1_r,
782,norming,list2,
793,norming,list1_r,
889,norming,list2_r,
735,norming,list2_r,
856,norming,list1,
779,norming,list1_r,
729,norming,list2,
864,norming,list2_r,
783,norming,list2,
707,norming,list2,
748,norming,list1_r,
728,norming,list1_r,
890,norming,list1,
699,norming,list2,
836,norming,list2,
855,norming,list1,
896,norming,list1,
881,norming,list1_r,
789,norming,list1_r,
893,norming,list2_r,
879,norming,list2_r,
882,norming,list2,
772,norming,list1,
862,norming,list2_r,
869,norming,list1_r,
766,norming,list1,
740,norming,list1_r,
731,norming,list1,
703,norming,list2,
903,norming,list2,
819,norming,list1_r,
802,norming,list1,
759,norming,list2,
866,norming,list1_r,
854,norming,list2,
838,norming,list1_r,
849,norming,list2,
861,norming,list1_r,
769,norming,list1,
747,norming,list2,
897,norming,list1_r,
752,norming,list1_r,
843,norming,list2,
730,norming,list1,
773,norming,list1_r,
710,norming,list1_r,
880,norming,list1_r,
757,norming,list1,
830,norming,list2,
818,norming,list1,
708,norming,list2_r,
736,norming,list1_r,
745,norming,list1,
698,norming,list1_r,
821,norming,list1_r,
800,norming,list1_r,
870,norming,list2,
891,norming,list1,
705,norming,list1_r,
801,norming,list1_r,
888,norming,list1_r,
868,norming,list1,
762,norming,list1,
723,norming,list1_r,
781,norming,list1_r,
768,norming,list2_r,
764,norming,list2_r,
727,norming,list1_r,
887,norming,list2_r,
763,norming,list1,
794,norming,list2,
859,norming,list2_r,
721,norming,list2,
733,norming,list2,
845,norming,list1_r,
788,norming,list1,
774,norming,list2,
