workerid,proliferate.condition,Browser,OS,screenH,screenW,error
718,norming,Chrome,Windows,1440,2560,
901,norming,Chrome,Windows,864,1536,
711,norming,Chrome,Windows,864,1536,
837,norming,Chrome,Windows,864,1536,
756,norming,Chrome,Windows,864,1536,
820,norming,Chrome,Mac,900,1440,
895,norming,Chrome,Mac,900,1440,
804,norming,Chrome,Windows,768,1366,
767,norming,Chrome,Windows,720,1280,
851,norming,Chrome,Windows,768,1366,
812,norming,Chrome,Windows,720,1280,
796,norming,Chrome,Mac,1280,2048,
743,norming,Chrome,Windows,1080,1920,
803,norming,Chrome,Windows,768,1366,
899,norming,Chrome,Windows,768,1366,
696,norming,Chrome,Windows,768,1366,
770,norming,Firefox,Windows,792,1408,
894,norming,Chrome,Windows,768,1366,
807,norming,Chrome,Windows,720,1280,
786,norming,Chrome,Windows,768,1366,
871,norming,Chrome,Windows,1080,1920,
831,norming,Chrome,Windows,768,1366,
832,norming,Chrome,Windows,768,1366,
840,norming,Firefox,Mac,800,1280,
878,norming,Chrome,Windows,720,1280,
827,norming,Chrome,Windows,768,1366,
813,norming,Chrome,Windows,768,1366,
716,norming,Chrome,Mac,1080,1920,
777,norming,Chrome,Windows,720,1280,
860,norming,Chrome,Windows,720,1280,
842,norming,Chrome,Windows,768,1366,
750,norming,Chrome,Windows,864,1536,
877,norming,Chrome,Windows,1080,1920,
713,norming,Safari,Mac,900,1440,
725,norming,Chrome,Windows,768,1366,
738,norming,Safari,Mac,900,1440,
892,norming,Chrome,Windows,720,1280,
846,norming,Chrome,Mac,900,1440,
808,norming,Chrome,Windows,768,1366,
739,norming,Chrome,Windows,1080,1920,
858,norming,Chrome,Windows,768,1366,
825,norming,Chrome,Windows,768,1366,
822,norming,Chrome,Windows,864,1536,
715,norming,Chrome,Windows,768,1366,
852,norming,Chrome,Windows,720,1280,
798,norming,Chrome,Windows,1080,1920,
816,norming,Chrome,Windows,768,1366,
749,norming,Chrome,Windows,864,1536,
771,norming,Chrome,Windows,864,1536,
801,norming,Chrome,Windows,1080,1920,
760,norming,Firefox,Windows,864,1536,
732,norming,Chrome,Windows,768,1366,
758,norming,Chrome,Windows,768,1366,
755,norming,Chrome,Windows,864,1536,
883,norming,Chrome,Windows,768,1366,
898,norming,Chrome,Mac,900,1440,
792,norming,Chrome,Windows,864,1536,
829,norming,Firefox,Windows,864,1536,
780,norming,Chrome,Windows,864,1536,
694,norming,Safari,Mac,900,1440,
828,norming,Chrome,Windows,1080,1920,
784,norming,Chrome,Windows,720,1280,
722,norming,Chrome,Windows,1050,1680,
902,norming,Chrome,Windows,768,1366,
834,norming,Chrome,Windows,768,1366,
884,norming,Chrome,Windows,1440,2560,
815,norming,Safari,Mac,1194,834,
712,norming,Chrome,Windows,768,1366,
904,norming,Chrome,Windows,1080,1920,
876,norming,Chrome,Windows,1080,1920,
867,norming,Chrome,Windows,768,1366,
847,norming,Chrome,Windows,864,1536,
778,norming,Safari,Mac,900,1440,
817,norming,Chrome,Windows,768,1366,
823,norming,Chrome,Windows,960,1440,
695,norming,Chrome,Mac,900,1440,
809,norming,Chrome,Windows,864,1536,
785,norming,Chrome,Windows,768,1366,
714,norming,Chrome,Windows,768,1366,
839,norming,Chrome,Mac,800,1280,
857,norming,Chrome,Windows,768,1366,
737,norming,Chrome,Mac,800,1280,
704,norming,Chrome,Windows,864,1536,
751,norming,Chrome,Windows,864,1536,
841,norming,Chrome,Windows,768,1366,
875,norming,Firefox,Windows,768,1360,
885,norming,Chrome,Windows,768,1366,
719,norming,Chrome,Mac,900,1440,
775,norming,Chrome,Windows,768,1366,
853,norming,Chrome,Windows,864,1536,
850,norming,Chrome,Windows,768,1366,
805,norming,Chrome,Windows,768,1366,
799,norming,Chrome,Windows,720,1280,
726,norming,Safari,Mac,900,1440,
835,norming,Chrome,Windows,720,1280,
761,norming,Chrome,Linux,869,412,
700,norming,Chrome,Windows,864,1536,
873,norming,Firefox,Windows,768,1366,
886,norming,Firefox,Windows,768,1366,
872,norming,Chrome,Windows,720,1280,
806,norming,Chrome,Windows,1440,2560,
724,norming,Chrome,Mac,1050,1680,
848,norming,Chrome,Windows,720,1280,
795,norming,Chrome,Mac,900,1440,
782,norming,Chrome,Windows,768,1366,
793,norming,Chrome,Windows,768,1366,
889,norming,Chrome,Windows,1080,1920,
735,norming,Chrome,Windows,1080,1920,
856,norming,Chrome,Windows,768,1366,
779,norming,Safari,Mac,900,1440,
729,norming,Chrome,Mac,900,1440,
864,norming,Firefox,Windows,1080,1920,
783,norming,Chrome,Windows,864,1536,
707,norming,Chrome,Windows,1080,1920,
748,norming,Chrome,Windows,768,1366,
728,norming,Chrome,Windows,768,1366,
890,norming,Chrome,Windows,768,1366,
699,norming,Chrome,Windows,768,1366,
836,norming,Chrome,Mac,800,1280,
855,norming,Firefox,Windows,1080,1920,
896,norming,Chrome,Windows,768,1366,
881,norming,Chrome,Windows,768,1360,
789,norming,Chrome,Windows,900,1600,
893,norming,Chrome,Windows,768,1366,
879,norming,Chrome,Windows,1080,1920,
882,norming,Chrome,Windows,900,1440,
772,norming,Chrome,Mac,900,1440,
862,norming,Chrome,Windows,1080,1920,
869,norming,Chrome,Windows,768,1366,
766,norming,Chrome,Windows,768,1366,
740,norming,Chrome,Windows,768,1366,
731,norming,Safari,Mac,900,1440,
703,norming,Chrome,Windows,768,1366,
903,norming,Chrome,Windows,768,1366,
819,norming,Chrome,Windows,768,1366,
802,norming,Chrome,Linux,1080,1920,
759,norming,Safari,Mac,800,1280,
866,norming,Chrome,Windows,1200,1920,
854,norming,Chrome,Windows,768,1366,
838,norming,Chrome,Windows,768,1366,
849,norming,Chrome,Windows,768,1366,
861,norming,Chrome,Windows,1080,1920,
769,norming,Chrome,Linux,864,1536,
747,norming,Chrome,Windows,864,1536,
897,norming,Chrome,Windows,864,1536,
752,norming,Chrome,Windows,1152,2048,
843,norming,Chrome,Windows,1143,1715,
730,norming,Chrome,Windows,768,1360,
773,norming,Chrome,Windows,768,1366,
710,norming,Chrome,Windows,768,1366,
880,norming,Chrome,Windows,768,1366,
757,norming,Chrome,Windows,768,1366,
830,norming,Chrome,Windows,864,1536,
818,norming,Chrome,Windows,864,1536,
708,norming,Chrome,Windows,768,1366,
736,norming,Firefox,Windows,864,1536,
745,norming,Chrome,Windows,900,1600,
698,norming,Chrome,Windows,768,1366,
821,norming,Chrome,Windows,864,1536,
800,norming,Chrome,Windows,768,1366,
870,norming,Chrome,Windows,768,1366,
891,norming,Chrome,Windows,768,1366,
705,norming,Chrome,Windows,768,1366,
801,norming,Chrome,Windows,900,1440,
888,norming,Chrome,Windows,1080,1920,
868,norming,Chrome,Windows,1440,2560,
762,norming,Chrome,Windows,768,1366,
723,norming,Chrome,Windows,768,1366,
781,norming,Chrome,Mac,900,1440,
768,norming,Chrome,Windows,720,1280,
764,norming,Chrome,Windows,1200,1920,
727,norming,Chrome,Linux,760,360,
887,norming,Chrome,Windows,768,1366,
763,norming,Chrome,Windows,768,1366,
794,norming,Chrome,Windows,768,1366,
859,norming,Chrome,Windows,768,1366,
721,norming,Chrome,Windows,720,1280,
733,norming,Chrome,Windows,1080,1920,
845,norming,Firefox,Windows,1024,1280,
788,norming,Chrome,Windows,768,1366,
774,norming,Chrome,Windows,900,1600,
