workerid,proliferate.condition,time_in_minutes,error
718,norming,6.4402,
901,norming,10.669816666666666,
711,norming,8.420316666666666,
837,norming,9.095816666666666,
756,norming,6.802816666666667,
820,norming,6.037683333333334,
895,norming,8.69645,
804,norming,12.187266666666666,
767,norming,16.794783333333335,
851,norming,12.035316666666668,
812,norming,11.778466666666668,
796,norming,8.9184,
743,norming,6.4437,
803,norming,31.4691,
899,norming,10.655266666666666,
696,norming,18.61655,
770,norming,8.285,
894,norming,13.8574,
807,norming,26.693316666666668,
786,norming,10.860333333333331,
871,norming,14.33785,
831,norming,9.110566666666667,
832,norming,8.387666666666666,
840,norming,12.657116666666669,
878,norming,11.766916666666669,
827,norming,17.6512,
813,norming,9.518733333333332,
716,norming,5.3430333333333335,
777,norming,5.991383333333333,
860,norming,7.9351,
842,norming,15.317083333333333,
750,norming,8.489766666666666,
877,norming,6.727516666666666,
713,norming,7.173733333333334,
725,norming,10.692333333333334,
738,norming,11.60185,
892,norming,12.389733333333334,
846,norming,6.6985166666666665,
808,norming,10.04195,
739,norming,5.534166666666667,
858,norming,13.81005,
825,norming,11.618366666666669,
822,norming,16.3439,
715,norming,13.397183333333333,
852,norming,10.2377,
798,norming,6.321866666666667,
816,norming,15.148183333333334,
749,norming,13.209616666666667,
771,norming,7.4939,
801,norming,17.04925,
760,norming,29.646466666666665,
732,norming,12.298983333333334,
758,norming,31.6809,
755,norming,12.3766,
883,norming,14.179466666666666,
898,norming,9.4709,
792,norming,9.6978,
829,norming,8.060583333333334,
780,norming,6.9968,
694,norming,18.0268,
828,norming,6.8151,
784,norming,7.4976,
722,norming,11.490566666666666,
902,norming,8.39005,
834,norming,18.2557,
884,norming,8.8538,
815,norming,15.090466666666666,
712,norming,12.460583333333334,
904,norming,10.122816666666669,
876,norming,10.449983333333334,
867,norming,7.785766666666667,
847,norming,9.58555,
778,norming,10.0977,
817,norming,6.240383333333333,
823,norming,6.136533333333333,
695,norming,11.2933,
809,norming,12.1524,
785,norming,31.123883333333332,
714,norming,30.594283333333333,
839,norming,6.72275,
857,norming,18.66705,
737,norming,12.845583333333334,
704,norming,10.458883333333333,
751,norming,5.007183333333334,
841,norming,10.10965,
875,norming,18.88565,
885,norming,9.88415,
719,norming,6.8492,
775,norming,6.331883333333334,
853,norming,6.932016666666667,
850,norming,13.991166666666668,
805,norming,9.123233333333332,
799,norming,11.770433333333331,
726,norming,11.177016666666669,
835,norming,7.53885,
761,norming,9.485416666666667,
700,norming,8.948566666666666,
873,norming,12.36345,
886,norming,15.032066666666667,
872,norming,12.44265,
806,norming,7.658483333333334,
724,norming,7.571716666666667,
848,norming,11.8574,
795,norming,11.879966666666666,
782,norming,5.927216666666666,
793,norming,13.505866666666666,
889,norming,9.5892,
735,norming,9.654766666666667,
856,norming,10.583033333333333,
779,norming,8.135083333333334,
729,norming,6.986166666666667,
864,norming,12.014033333333334,
783,norming,7.822783333333334,
707,norming,8.264666666666667,
748,norming,10.26425,
728,norming,19.270266666666668,
890,norming,12.537916666666666,
699,norming,23.7294,
836,norming,8.51665,
855,norming,5.693966666666666,
896,norming,21.16795,
881,norming,5.994016666666667,
789,norming,13.565916666666666,
893,norming,15.359816666666667,
879,norming,17.279016666666667,
882,norming,7.824216666666667,
772,norming,8.909766666666666,
862,norming,9.488883333333334,
869,norming,7.93825,
766,norming,7.8779,
740,norming,8.605466666666667,
731,norming,9.882966666666666,
703,norming,9.1638,
903,norming,14.8834,
819,norming,10.281033333333331,
802,norming,7.833966666666667,
759,norming,9.886483333333333,
866,norming,6.765333333333333,
854,norming,13.41885,
838,norming,20.813983333333333,
849,norming,10.831916666666666,
861,norming,10.664066666666669,
769,norming,7.49745,
747,norming,5.727416666666667,
897,norming,11.603583333333331,
752,norming,10.107633333333334,
843,norming,10.254316666666666,
730,norming,9.35655,
773,norming,10.061,
710,norming,10.986516666666668,
880,norming,9.56085,
757,norming,11.960516666666669,
830,norming,7.66305,
818,norming,10.266816666666667,
708,norming,13.607616666666669,
736,norming,9.20305,
745,norming,14.888216666666668,
698,norming,9.168266666666666,
821,norming,12.001266666666666,
800,norming,18.4556,
870,norming,18.4223,
891,norming,16.383883333333333,
705,norming,18.080416666666668,
801,norming,15.019483333333334,
888,norming,27.762633333333333,
868,norming,11.59375,
762,norming,7.529316666666666,
723,norming,17.654716666666666,
781,norming,10.478433333333331,
768,norming,13.65945,
764,norming,4.139016666666667,
727,norming,13.738033333333334,
887,norming,8.757966666666666,
763,norming,12.7299,
794,norming,14.748433333333333,
859,norming,14.437833333333334,
721,norming,9.902733333333334,
733,norming,7.19815,
845,norming,9.6341,
788,norming,20.90165,
774,norming,15.31955,
