workerid,proliferate.condition,condition,error
239,norming,1,
213,norming,1,
165,norming,1,
58,norming,1,
222,norming,2,
240,norming,1,
87,norming,2,
79,norming,1,
162,norming,2,
101,norming,2,
45,norming,2,
181,norming,2,
227,norming,1,
63,norming,2,
157,norming,2,
65,norming,2,
108,norming,1,
132,norming,1,
210,norming,1,
62,norming,1,
59,norming,2,
231,norming,2,
66,norming,1,
43,norming,1,
54,norming,2,
93,norming,1,
110,norming,2,
80,norming,2,
64,norming,2,
145,norming,2,
147,norming,2,
241,norming,2,
153,norming,1,
72,norming,2,
208,norming,1,
178,norming,1,
94,norming,1,
179,norming,1,
177,norming,2,
212,norming,1,
88,norming,2,
127,norming,1,
205,norming,1,
34,norming,2,
131,norming,1,
99,norming,1,
152,norming,1,
183,norming,1,
209,norming,1,
118,norming,1,
193,norming,2,
216,norming,1,
81,norming,1,
96,norming,1,
95,norming,2,
104,norming,2,
243,norming,2,
115,norming,2,
124,norming,2,
70,norming,1,
90,norming,2,
75,norming,1,
154,norming,2,
170,norming,2,
189,norming,2,
133,norming,1,
109,norming,1,
187,norming,1,
234,norming,1,
89,norming,2,
52,norming,2,
217,norming,2,
150,norming,2,
60,norming,2,
41,norming,1,
68,norming,1,
122,norming,2,
202,norming,2,
195,norming,2,
226,norming,1,
91,norming,2,
220,norming,2,
84,norming,1,
151,norming,1,
215,norming,2,
196,norming,1,
235,norming,1,
73,norming,2,
190,norming,2,
126,norming,1,
46,norming,1,
100,norming,1,
242,norming,2,
166,norming,2,
186,norming,2,
172,norming,2,
230,norming,2,
92,norming,1,
106,norming,1,
42,norming,2,
199,norming,2,
141,norming,1,
56,norming,2,
98,norming,1,
40,norming,1,
36,norming,1,
223,norming,2,
117,norming,1,
116,norming,2,
158,norming,1,
114,norming,2,
225,norming,1,
168,norming,2,
76,norming,1,
211,norming,1,
82,norming,2,
167,norming,1,
57,norming,1,
149,norming,2,
61,norming,2,
86,norming,1,
32,norming,1,
44,norming,1,
97,norming,2,
148,norming,1,
185,norming,2,
140,norming,1,
135,norming,2,
219,norming,2,
78,norming,1,
85,norming,1,
48,norming,2,
155,norming,2,
160,norming,1,
83,norming,2,
33,norming,1,
159,norming,1,
102,norming,1,
163,norming,1,
39,norming,2,
55,norming,1,
137,norming,1,
192,norming,1,
119,norming,1,
194,norming,2,
129,norming,1,
142,norming,1,
35,norming,2,
198,norming,2,
204,norming,2,
67,norming,1,
180,norming,1,
161,norming,1,
175,norming,2,
232,norming,2,
136,norming,1,
229,norming,2,
182,norming,1,
143,norming,1,
50,norming,1,
221,norming,1,
69,norming,1,
112,norming,1,
197,norming,1,
184,norming,1,
201,norming,1,
237,norming,2,
236,norming,2,
37,norming,2,
53,norming,1,
169,norming,2,
107,norming,2,
51,norming,1,
207,norming,2,
113,norming,2,
156,norming,1,
171,norming,1,
146,norming,1,
139,norming,1,
130,norming,1,
188,norming,1,
214,norming,2,
228,norming,1,
123,norming,2,
144,norming,1,
191,norming,1,
200,norming,1,
128,norming,1,
238,norming,1,
176,norming,1,
77,norming,1,
71,norming,1,
224,norming,1,
203,norming,2,
120,norming,1,
121,norming,1,
49,norming,1,
74,norming,1,
125,norming,1,
103,norming,2,
