workerid,proliferate.condition,time_in_minutes,error
239,norming,4.973333333333334,
213,norming,4.974166666666667,
165,norming,10.867883333333332,
58,norming,4.72635,
222,norming,16.1662,
240,norming,9.899316666666667,
87,norming,9.867566666666669,
79,norming,8.395233333333334,
162,norming,10.3007,
101,norming,6.850833333333333,
45,norming,8.345916666666668,
181,norming,13.661616666666667,
227,norming,5.020833333333333,
63,norming,5.770683333333333,
157,norming,6.919183333333334,
65,norming,4.8819,
108,norming,4.593166666666667,
132,norming,4.381866666666666,
210,norming,6.491066666666667,
62,norming,6.535466666666666,
59,norming,13.21985,
231,norming,7.018433333333333,
66,norming,10.383933333333331,
43,norming,5.891333333333334,
54,norming,5.2659666666666665,
93,norming,4.732316666666667,
110,norming,14.97205,
80,norming,4.635983333333333,
64,norming,6.1934,
145,norming,5.98155,
147,norming,4.3479,
241,norming,6.376633333333333,
153,norming,5.277283333333333,
72,norming,4.665233333333333,
208,norming,7.0864666666666665,
178,norming,6.503216666666667,
94,norming,4.961883333333334,
179,norming,8.685433333333334,
177,norming,16.2658,
212,norming,9.807233333333333,
88,norming,3.4807,
127,norming,11.92625,
205,norming,4.6714166666666666,
34,norming,4.139433333333334,
131,norming,3.93365,
99,norming,3.5075833333333333,
152,norming,9.31275,
183,norming,10.142066666666668,
209,norming,1.89395,
118,norming,6.214383333333333,
193,norming,10.6033,
216,norming,6.228933333333333,
81,norming,5.926466666666666,
96,norming,3.6081666666666665,
95,norming,12.1266,
104,norming,9.674916666666666,
243,norming,10.400966666666667,
115,norming,6.064866666666667,
124,norming,5.0578,
70,norming,3.55985,
90,norming,5.3704,
75,norming,2.9910833333333335,
154,norming,3.5860333333333334,
170,norming,7.1654,
189,norming,4.145933333333334,
133,norming,7.8044,
109,norming,6.428416666666666,
187,norming,5.61715,
234,norming,7.21845,
89,norming,22.478983333333332,
52,norming,7.2548,
217,norming,5.796916666666666,
150,norming,4.574033333333333,
60,norming,6.592016666666667,
41,norming,3.6990666666666665,
68,norming,5.0323,
122,norming,5.4754,
202,norming,10.134433333333334,
195,norming,13.781766666666666,
226,norming,6.710283333333333,
91,norming,21.464966666666665,
220,norming,3.999,
84,norming,11.369783333333332,
151,norming,8.718166666666667,
215,norming,5.747683333333334,
196,norming,5.2656,
235,norming,6.831833333333333,
73,norming,6.7876,
190,norming,10.357783333333334,
126,norming,5.578533333333334,
46,norming,13.422116666666666,
100,norming,4.750616666666667,
242,norming,21.273816666666665,
166,norming,6.7640666666666664,
186,norming,6.717583333333334,
172,norming,15.3625,
230,norming,6.487866666666666,
92,norming,6.264016666666667,
106,norming,4.389333333333333,
42,norming,10.290683333333334,
199,norming,16.115066666666667,
141,norming,4.83335,
56,norming,6.494833333333333,
98,norming,8.3144,
40,norming,8.157483333333333,
36,norming,5.695616666666667,
223,norming,11.876,
117,norming,6.985633333333333,
116,norming,7.221783333333334,
158,norming,20.18263333333333,
114,norming,15.384666666666666,
225,norming,8.062183333333333,
168,norming,13.910266666666669,
76,norming,4.68095,
211,norming,3.6337166666666665,
82,norming,8.74305,
167,norming,13.355333333333334,
57,norming,8.242266666666668,
149,norming,8.61685,
61,norming,4.111583333333333,
86,norming,8.730016666666666,
32,norming,6.687416666666667,
44,norming,9.569783333333334,
97,norming,5.0717,
148,norming,7.41675,
185,norming,28.520366666666668,
140,norming,9.045,
135,norming,29.302466666666668,
219,norming,4.04965,
78,norming,24.041983333333334,
85,norming,6.306883333333333,
48,norming,6.4524,
155,norming,18.326133333333335,
160,norming,13.716216666666666,
83,norming,8.464366666666667,
33,norming,5.432966666666666,
159,norming,4.6443,
102,norming,9.682783333333331,
163,norming,7.005016666666666,
39,norming,5.956416666666667,
55,norming,7.530966666666667,
137,norming,8.9894,
192,norming,9.257783333333334,
119,norming,10.9722,
194,norming,7.38125,
129,norming,5.016783333333334,
142,norming,6.087116666666667,
35,norming,5.39845,
198,norming,8.5256,
204,norming,5.361583333333333,
67,norming,7.8858,
180,norming,15.450166666666666,
161,norming,8.939616666666666,
175,norming,5.286016666666667,
232,norming,7.612933333333333,
136,norming,6.9026,
229,norming,11.57595,
182,norming,8.596916666666667,
143,norming,3.4430833333333335,
50,norming,4.881233333333333,
221,norming,5.130333333333334,
69,norming,29.383733333333332,
112,norming,17.95695,
197,norming,6.9341333333333335,
184,norming,3.262383333333333,
201,norming,17.6994,
237,norming,15.249166666666667,
236,norming,3.9042166666666662,
37,norming,6.5875,
53,norming,12.842383333333334,
169,norming,7.371816666666667,
107,norming,9.72355,
51,norming,12.577583333333331,
207,norming,4.799,
113,norming,5.302216666666666,
156,norming,9.332283333333333,
171,norming,14.497466666666666,
146,norming,8.7493,
139,norming,25.151616666666666,
130,norming,9.41315,
188,norming,13.594533333333333,
214,norming,7.1462,
228,norming,3.4495,
123,norming,3.0915333333333335,
144,norming,9.359433333333332,
191,norming,5.574133333333333,
200,norming,3.3562333333333334,
128,norming,5.15145,
238,norming,7.71685,
176,norming,8.275833333333333,
77,norming,9.420533333333331,
71,norming,5.8236,
224,norming,6.092766666666667,
203,norming,3.9347666666666665,
120,norming,3.129266666666666,
121,norming,6.816766666666667,
49,norming,6.5827,
74,norming,6.495133333333333,
125,norming,18.150916666666667,
103,norming,6.946416666666667,
