workerid,proliferate.condition,audio,first,image,list,response,seconds_elapsed,slide_number,slide_type,story,tag,trial_num,type,catch_trials,condition,subject_information.affiliation,subject_information.age,subject_information.asses,subject_information.comments,subject_information.education,subject_information.enjoyment,subject_information.fairprice,subject_information.gender,subject_information.language,subject_information.problems,subject_information.race,system.Browser,system.OS,system.screenH,system.screenW,time_in_minutes,error
31,norming,,,Barbara,,"[0, 'barbara']",,1,bot_check,,,,,[],1,2,21,Yes,Thanks!,2,2,1.75,Male,English,nope!,White,Chrome,Mac,800,1280,3.0313,
31,norming,,Brett,,1,banjo,13.807,,,performing,jazz,0,critical,[],1,2,21,Yes,Thanks!,2,2,1.75,Male,English,nope!,White,Chrome,Mac,800,1280,3.0313,
31,norming,,Logan,,1,Man!,6.474,,,friend,names,1,filler,[],1,2,21,Yes,Thanks!,2,2,1.75,Male,English,nope!,White,Chrome,Mac,800,1280,3.0313,
31,norming,,Jermaine,,1,Black Panther,5.093,,,movies,movie,2,filler,[],1,2,21,Yes,Thanks!,2,2,1.75,Male,English,nope!,White,Chrome,Mac,800,1280,3.0313,
31,norming,,Deion,,1,doctor's,5.558,,,appointment,appointment,3,filler,[],1,2,21,Yes,Thanks!,2,2,1.75,Male,English,nope!,White,Chrome,Mac,800,1280,3.0313,
31,norming,,Tremayne,,1,sis,11.733,,,sister,names,4,filler,[],1,2,21,Yes,Thanks!,2,2,1.75,Male,English,nope!,White,Chrome,Mac,800,1280,3.0313,
31,norming,,Dustin,,1,pass,6.171,,,exclusion1,exclusion,5,exclusion,[],1,2,21,Yes,Thanks!,2,2,1.75,Male,English,nope!,White,Chrome,Mac,800,1280,3.0313,
31,norming,,Ryan,,1,country,8.65,,,genre,jazz,6,critical,[],1,2,21,Yes,Thanks!,2,2,1.75,Male,English,nope!,White,Chrome,Mac,800,1280,3.0313,
31,norming,,Tyrone,,1,basketball,6.069,,,high school team,sports,7,critical,[],1,2,21,Yes,Thanks!,2,2,1.75,Male,English,nope!,White,Chrome,Mac,800,1280,3.0313,
31,norming,,Connor,,1,soccer,7.849,,,practice,sports,8,critical,[],1,2,21,Yes,Thanks!,2,2,1.75,Male,English,nope!,White,Chrome,Mac,800,1280,3.0313,
31,norming,,Marquis,,1,gunshots,5.453,,,sleep,neighborhood,9,filler,[],1,2,21,Yes,Thanks!,2,2,1.75,Male,English,nope!,White,Chrome,Mac,800,1280,3.0313,
31,norming,,Tyree,,1,cell phone,8.386,,,lost item,item,10,filler,[],1,2,21,Yes,Thanks!,2,2,1.75,Male,English,nope!,White,Chrome,Mac,800,1280,3.0313,
31,norming,,Paul,,1,Olive Garden,3.735,,,food,fast food,11,critical,[],1,2,21,Yes,Thanks!,2,2,1.75,Male,English,nope!,White,Chrome,Mac,800,1280,3.0313,
31,norming,,Brad,,1,read,5.095,,,lazy day,lazy,12,critical,[],1,2,21,Yes,Thanks!,2,2,1.75,Male,English,nope!,White,Chrome,Mac,800,1280,3.0313,
31,norming,,Dylan,,1,Toyota Corolla,6.824,,,gray car,poor,13,critical,[],1,2,21,Yes,Thanks!,2,2,1.75,Male,English,nope!,White,Chrome,Mac,800,1280,3.0313,
31,norming,,Lamont,,1,a deer,6.353,,,driving,driving,14,filler,[],1,2,21,Yes,Thanks!,2,2,1.75,Male,English,nope!,White,Chrome,Mac,800,1280,3.0313,
31,norming,,Hunter,,1,knife,7.316,,,B&D,weapon,15,filler,[],1,2,21,Yes,Thanks!,2,2,1.75,Male,English,nope!,White,Chrome,Mac,800,1280,3.0313,
31,norming,,Hakeem,,1,fail,7.094,,,exclusion2,exclusion,16,exclusion,[],1,2,21,Yes,Thanks!,2,2,1.75,Male,English,nope!,White,Chrome,Mac,800,1280,3.0313,
31,norming,,Lamar,,1,wine,4.836,,,alcohol,food,17,filler,[],1,2,21,Yes,Thanks!,2,2,1.75,Male,English,nope!,White,Chrome,Mac,800,1280,3.0313,
31,norming,,Ian,,1,office,3.472,,,job,work,18,filler,[],1,2,21,Yes,Thanks!,2,2,1.75,Male,English,nope!,White,Chrome,Mac,800,1280,3.0313,
31,norming,,Deshawn,,1,McDonald's,6.358,,,restaurant,fast food,19,critical,[],1,2,21,Yes,Thanks!,2,2,1.75,Male,English,nope!,White,Chrome,Mac,800,1280,3.0313,
