workerid,proliferate.condition,audio,first,image,list,response,seconds_elapsed,slide_number,slide_type,story,tag,trial_num,type,error
4,pilot,,,Jessica,,"[0, 'Jessica']",,1,bot_check,,,,,
4,pilot,,Ethan,,2,a deer,3.672,,,driving,driving,0,filler,
4,pilot,,Dylan,,2,Hey!,2.718,,,friend,names,1,filler,
4,pilot,,Deshawn,,2,Kendrick Lamar,4.282,,,radio,genre,2,critical,
4,pilot,,Deion,,2,watermelon,3.915,,,fruit,watermelon,3,critical,
4,pilot,,Jack,,2,Hidden Figures,6.895,,,movies,movie,4,filler,
4,pilot,,Kareem,,2,basketball,2.648,,,game with friends,sports,5,critical,
4,pilot,,Tremayne,,2,math,5.302,,,lesson,jazz,6,critical,
4,pilot,,Lamar,,2,factory,6.104,,,job,work,7,filler,
4,pilot,,Brett,,2,knife,3.615,,,B&D,weapon,8,filler,
4,pilot,,Dustin,,2,piano,3.543,,,performing,jazz,9,critical,
4,pilot,,Jamal,,2,play videogames,4.798,,,lazy day,lazy,10,critical,
4,pilot,,Tyrone,,2,doctors,3.096,,,appointment,appointment,11,filler,
4,pilot,,Tyree,,2,shouting,4.23,,,sleep,neighborhood,12,filler,
4,pilot,,Paul,,2,beer,4.791,,,alcohol,food,13,filler,
4,pilot,,Ryan,,2,an Italian restaurant,7.064,,,fancy restaurant,poor,14,critical,
4,pilot,,Hunter,,2,soccer,11.615,,,park,sports,15,critical,
4,pilot,,Cody,,2,burgers,3.887,,,food,fast food,16,critical,
4,pilot,,Marquis,,2,pair of shorts,4.566,,,lost item,item,17,filler,
4,pilot,,Deandre,,2,Sis,3.792,,,sister,names,18,filler,
4,pilot,,Brad,,2,Mercedes,3.168,,,blue car,poor,19,critical,
9,pilot,,,Jennifer,,"[0, 'Jennifer']",,1,bot_check,,,,,
9,pilot,,Lamont,,2,,,,,performing,jazz,0,critical,
9,pilot,,Roger,,2,,,,,friend,names,1,filler,
9,pilot,,Brad,,2,,,,,B&D,weapon,2,filler,
9,pilot,,Marquis,,2,,,,,fruit,watermelon,3,critical,
9,pilot,,Deshawn,,2,,,,,radio,genre,4,critical,
9,pilot,,Tyrone,,2,,,,,park,sports,5,critical,
9,pilot,,Jermaine,,2,,,,,appointment,appointment,6,filler,
9,pilot,,Cody,,2,,,,,movies,movie,7,filler,
9,pilot,,Kareem,,2,,,,,lost item,item,8,filler,
9,pilot,,Dylan,,2,,,,,food,fast food,9,critical,
9,pilot,,Hakeem,,2,,,,,sleep,neighborhood,10,filler,
9,pilot,,Peter,,2,,,,,sister,names,11,filler,
9,pilot,,Ethan,,2,,,,,alcohol,food,12,filler,
9,pilot,,Connor,,2,,,,,blue car,poor,13,critical,
9,pilot,,Jamal,,2,,,,,fancy restaurant,poor,14,critical,
9,pilot,,Ian,,2,,,,,lesson,jazz,15,critical,
9,pilot,,Deion,,2,,,,,game with friends,sports,16,critical,
9,pilot,,Jack,,2,,,,,driving,driving,17,filler,
9,pilot,,Dustin,,2,,,,,job,work,18,filler,
9,pilot,,Trevon,,2,,,,,lazy day,lazy,19,critical,
3,pilot,,,Margaret,,"[0, 'margaret']",,1,bot_check,,,,,
3,pilot,,Dylan,,2,relax,3.433,,,lazy day,lazy,0,critical,
3,pilot,,Cody,,2,sedan,3.221,,,blue car,poor,1,critical,
3,pilot,,Jermaine,,2,knife,7.326,,,B&D,weapon,2,filler,
3,pilot,,Lamar,,2,yo,2.215,,,sister,names,3,filler,
3,pilot,,Dustin,,2,a deer,3.727,,,driving,driving,4,filler,
3,pilot,,Ethan,,2,baseball,4.983,,,park,sports,5,critical,
3,pilot,,Connor,,2,music,6.336,,,radio,genre,6,critical,
3,pilot,,Peter,,2,beer,8.471,,,alcohol,food,7,filler,
3,pilot,,Lamont,,2,basketball,8.647,,,game with friends,sports,8,critical,
3,pilot,,Hakeem,,2,saxophone,4.526,,,performing,jazz,9,critical,
