seconds_elapsed,slide_type,Answer.time_in_minutes,Answer.condition,story,workerid,image,first,audio,list,trial_num,tag,type,response,slide_number
,bot_check,6.66975,undefined,,0,Margaret,,,,,,,"[0, 'Margaret']",1
,,6.66975,undefined,performing,0,,Hunter,,2,0,jazz,critical,,
,,6.66975,undefined,blue car,0,,Deshawn,,2,1,poor,critical,,
,,6.66975,undefined,B&D,0,,Dylan,,2,2,weapon,filler,,
15.019,,6.66975,undefined,radio,0,,Ryan,,2,3,genre,critical,pop music,
12.836,,6.66975,undefined,park,0,,Roger,,2,4,sports,critical,baseball,
16.015,,6.66975,undefined,fancy restaurant,0,,Rasheed,,2,5,poor,critical,Red Lobster,
10.447,,6.66975,undefined,movies,0,,Tyree,,2,6,movie,filler,Star Wars,
12.127,,6.66975,undefined,lazy day,0,,Hakeem,,2,7,lazy,critical,read,
14.471,,6.66975,undefined,sister,0,,Logan,,2,8,names,filler,Jenny,
13.191,,6.66975,undefined,sleep,0,,Deion,,2,9,neighborhood,filler,noise,
9.335,,6.66975,undefined,lesson,0,,Cody,,2,10,jazz,critical,piano,
12.463,,6.66975,undefined,fruit,0,,Dustin,,2,11,watermelon,critical,apples,
12.039,,6.66975,undefined,food,0,,Brett,,2,12,fast food,critical,pizza,
19.791,,6.66975,undefined,job,0,,Lamont,,2,13,work,filler,Pizza Hut,
19.791,,6.66975,undefined,alcohol,0,,Paul,,2,14,food,filler,Pizza Hut,
9.407,,6.66975,undefined,game with friends,0,,Jermaine,,2,15,sports,critical,chess,
9.896,,6.66975,undefined,lost item,0,,Peter,,2,16,item,filler,controller,
15.439,,6.66975,undefined,driving,0,,Jamal,,2,17,driving,filler,a dog,
10.867,,6.66975,undefined,friend,0,,Trevon,,2,18,names,filler,Jerry,
32.699,,6.66975,undefined,appointment,0,,Tremayne,,2,19,appointment,filler,dentist,
,bot_check,3.995233333333333,undefined,,1,Susan,,,,,,,"[0, 'Susan']",1
,,3.995233333333333,undefined,sleep,1,,Peter,,1,0,neighborhood,filler,,
,,3.995233333333333,undefined,practice,1,,Jermaine,,1,1,sports,critical,,
,,3.995233333333333,undefined,high school team,1,,Dylan,,1,2,sports,critical,,
,,3.995233333333333,undefined,genre,1,,Lamont,,1,3,jazz,critical,,
,,3.995233333333333,undefined,fancy restaurant,1,,Tyrone,,1,4,poor,critical,,
,,3.995233333333333,undefined,lazy day,1,,Tremayne,,1,5,lazy,critical,,
,,3.995233333333333,undefined,movies,1,,Trevon,,1,6,movie,filler,,
,,3.995233333333333,undefined,performing,1,,Tyree,,1,7,jazz,critical,,
,,3.995233333333333,undefined,sister,1,,Ethan,,1,8,names,filler,,
,,3.995233333333333,undefined,lost item,1,,Kareem,,1,9,item,filler,,
,,3.995233333333333,undefined,gray car,1,,Roger,,1,10,poor,critical,,
,,3.995233333333333,undefined,fruit,1,,Brett,,1,11,watermelon,critical,,
,,3.995233333333333,undefined,food,1,,Deion,,1,12,fast food,critical,,
,,3.995233333333333,undefined,alcohol,1,,Connor,,1,13,food,filler,,
,,3.995233333333333,undefined,job,1,,Dustin,,1,14,work,filler,,
,,3.995233333333333,undefined,B&D,1,,Ryan,,1,15,weapon,filler,,
,,3.995233333333333,undefined,friend,1,,Paul,,1,16,names,filler,,
