workerid,proliferate.condition,audio,first,image,list,response,seconds_elapsed,slide_number,slide_type,story,tag,trial_num,type,catch_trials,condition,subject_information.affiliation,subject_information.age,subject_information.asses,subject_information.comments,subject_information.education,subject_information.enjoyment,subject_information.fairprice,subject_information.gender,subject_information.language,subject_information.problems,subject_information.race,system.Browser,system.OS,system.screenH,system.screenW,time_in_minutes,error
24,pilot,,,Jessica,,"[0, 'Jessica']",,1,bot_check,,,,,[],1,1,27,Yes,,3,1,Yes,Female,English,No,White,Chrome,Mac,1440,2560,4.710966666666667,
24,pilot,,Ian,,1,piano,60.416,,,performing,jazz,0,critical,[],1,1,27,Yes,,3,1,Yes,Female,English,No,White,Chrome,Mac,1440,2560,4.710966666666667,
24,pilot,,Deandre,,1,Hello,13.677,,,friend,names,1,filler,[],1,1,27,Yes,,3,1,Yes,Female,English,No,White,Chrome,Mac,1440,2560,4.710966666666667,
24,pilot,,Brad,,1,Whiskey ,11.285,,,alcohol,food,2,filler,[],1,1,27,Yes,,3,1,Yes,Female,English,No,White,Chrome,Mac,1440,2560,4.710966666666667,
24,pilot,,Jermaine,,1,Sudan,6.569,,,gray car,poor,3,critical,[],1,1,27,Yes,,3,1,Yes,Female,English,No,White,Chrome,Mac,1440,2560,4.710966666666667,
24,pilot,,Dylan,,1,Sis,8.775,,,sister,names,4,filler,[],1,1,27,Yes,,3,1,Yes,Female,English,No,White,Chrome,Mac,1440,2560,4.710966666666667,
24,pilot,,Hunter,,1,Rukus,10.642,,,sleep,neighborhood,5,filler,[],1,1,27,Yes,,3,1,Yes,Female,English,No,White,Chrome,Mac,1440,2560,4.710966666666667,
24,pilot,,Dustin,,1,Read,8.943,,,lazy day,lazy,6,critical,[],1,1,27,Yes,,3,1,Yes,Female,English,No,White,Chrome,Mac,1440,2560,4.710966666666667,
24,pilot,,Marquis,,1,Star Wars,9.944,,,movies,movie,7,filler,[],1,1,27,Yes,,3,1,Yes,Female,English,No,White,Chrome,Mac,1440,2560,4.710966666666667,
24,pilot,,Tyrone,,1,Red Onion,13.848,,,restaurant,fast food,8,critical,[],1,1,27,Yes,,3,1,Yes,Female,English,No,White,Chrome,Mac,1440,2560,4.710966666666667,
24,pilot,,Cody,,1,Debate,11.114,,,high school team,sports,9,critical,[],1,1,27,Yes,,3,1,Yes,Female,English,No,White,Chrome,Mac,1440,2560,4.710966666666667,
24,pilot,,Tremayne,,1,Glasse,8.493,,,lost item,item,10,filler,[],1,1,27,Yes,,3,1,Yes,Female,English,No,White,Chrome,Mac,1440,2560,4.710966666666667,
24,pilot,,Paul,,1,Baseball,8.775,,,practice,sports,11,critical,[],1,1,27,Yes,,3,1,Yes,Female,English,No,White,Chrome,Mac,1440,2560,4.710966666666667,
24,pilot,,Ethan,,1,Densist,5.31,,,appointment,appointment,12,filler,[],1,1,27,Yes,,3,1,Yes,Female,English,No,White,Chrome,Mac,1440,2560,4.710966666666667,
24,pilot,,Brett,,1,Barn,9.044,,,job,work,13,filler,[],1,1,27,Yes,,3,1,Yes,Female,English,No,White,Chrome,Mac,1440,2560,4.710966666666667,
24,pilot,,Rasheed,,1,Pasta,9.663,,,food,fast food,14,critical,[],1,1,27,Yes,,3,1,Yes,Female,English,No,White,Chrome,Mac,1440,2560,4.710966666666667,
24,pilot,,Deshawn,,1,Jazz,10.44,,,genre,jazz,15,critical,[],1,1,27,Yes,,3,1,Yes,Female,English,No,White,Chrome,Mac,1440,2560,4.710966666666667,
24,pilot,,Kareem,,1,Carpet,12.228,,,B&D,weapon,16,filler,[],1,1,27,Yes,,3,1,Yes,Female,English,No,White,Chrome,Mac,1440,2560,4.710966666666667,
