workerid,proliferate.condition,audio,first,image,list,response,seconds_elapsed,slide_number,slide_type,story,tag,trial_num,type,error
16,pilot,,,Jennifer,,"[0, 'Jennifer']",,1,bot_check,,,,,
16,pilot,,Roger,,1,office,4.386,,,job,work,0,filler,
16,pilot,,Jermaine,,1,book,6.094,,,lost item,item,1,filler,
16,pilot,,Rasheed,,1,relax,6.876,,,lazy day,lazy,2,critical,
16,pilot,,Dylan,,1,soccer,5.14,,,practice,sports,3,critical,
16,pilot,,Deandre,,1,Yo!,3.815,,,friend,names,4,filler,
16,pilot,,Hakeem,,1,knife,3.398,,,B&D,weapon,5,filler,
16,pilot,,Peter,,1,violin,5.736,,,performing,jazz,6,critical,
16,pilot,,Deshawn,,1,jazz,7.085,,,genre,jazz,7,critical,
16,pilot,,Jack,,1,a rabbit,4.767,,,driving,driving,8,filler,
16,pilot,,Tyree,,1,Sis,3.669,,,sister,names,9,filler,
16,pilot,,Brett,,1,shouting,5.762,,,sleep,neighborhood,10,filler,
16,pilot,,Ryan,,1,debate,5.482,,,high school team,sports,11,critical,
16,pilot,,Logan,,1,pizza,6.45,,,food,fast food,12,critical,
16,pilot,,Brad,,1,his favourite Chinese restaurant,25.14,,,restaurant,fast food,13,critical,
16,pilot,,Trevon,,1,honda,7.61,,,gray car,poor,14,critical,
16,pilot,,Cody,,1,beer,3.143,,,alcohol,food,15,filler,
16,pilot,,Tremayne,,1,doctor's,2.935,,,appointment,appointment,16,filler,
16,pilot,,Jamal,,1,black panther,3.455,,,movies,movie,17,filler,
