workerid,proliferate.condition,audio,first,image,list,response,seconds_elapsed,slide_number,slide_type,story,tag,trial_num,type,catch_trials,condition,subject_information.affiliation,subject_information.age,subject_information.asses,subject_information.comments,subject_information.education,subject_information.enjoyment,subject_information.fairprice,subject_information.gender,subject_information.language,subject_information.problems,subject_information.race,system.Browser,system.OS,system.screenH,system.screenW,time_in_minutes,error
29,pilot,,,Jennifer,,"[0, 'Jennifer']",,1,bot_check,,,,,[],1,0,21,Yes,"This study was interesting and quite fun actually, I'd like to do more of these in the future.",2,2,1.50,Female,English,No,White,Chrome,Windows,1080,1920,11.185333333333332,
29,pilot,,Tyree,,1,Outback Steakhouse,36.964,,,restaurant,fast food,0,critical,[],1,0,21,Yes,"This study was interesting and quite fun actually, I'd like to do more of these in the future.",2,2,1.50,Female,English,No,White,Chrome,Windows,1080,1920,11.185333333333332,
29,pilot,,Dustin,,1,watch,17.294,,,lost item,item,1,filler,[],1,0,21,Yes,"This study was interesting and quite fun actually, I'd like to do more of these in the future.",2,2,1.50,Female,English,No,White,Chrome,Windows,1080,1920,11.185333333333332,
29,pilot,,Hunter,,1,read,11.697,,,lazy day,lazy,2,critical,[],1,0,21,Yes,"This study was interesting and quite fun actually, I'd like to do more of these in the future.",2,2,1.50,Female,English,No,White,Chrome,Windows,1080,1920,11.185333333333332,
29,pilot,,Deandre,,1,Jeep,20.071,,,gray car,poor,3,critical,[],1,0,21,Yes,"This study was interesting and quite fun actually, I'd like to do more of these in the future.",2,2,1.50,Female,English,No,White,Chrome,Windows,1080,1920,11.185333333333332,
29,pilot,,Deion,,1,knife,32.244,,,B&D,weapon,4,filler,[],1,0,21,Yes,"This study was interesting and quite fun actually, I'd like to do more of these in the future.",2,2,1.50,Female,English,No,White,Chrome,Windows,1080,1920,11.185333333333332,
29,pilot,,Deshawn,,1,dentist,13.107,,,appointment,appointment,5,filler,[],1,0,21,Yes,"This study was interesting and quite fun actually, I'd like to do more of these in the future.",2,2,1.50,Female,English,No,White,Chrome,Windows,1080,1920,11.185333333333332,
29,pilot,,Jamal,,1,a racoon,19.834,,,driving,driving,6,filler,[],1,0,21,Yes,"This study was interesting and quite fun actually, I'd like to do more of these in the future.",2,2,1.50,Female,English,No,White,Chrome,Windows,1080,1920,11.185333333333332,
29,pilot,,Tyrone,,1,James,20.779,,,friend,names,7,filler,[],1,0,21,Yes,"This study was interesting and quite fun actually, I'd like to do more of these in the future.",2,2,1.50,Female,English,No,White,Chrome,Windows,1080,1920,11.185333333333332,
29,pilot,,Kareem,,1,loud truck noises,55.781,,,sleep,neighborhood,8,filler,[],1,0,21,Yes,"This study was interesting and quite fun actually, I'd like to do more of these in the future.",2,2,1.50,Female,English,No,White,Chrome,Windows,1080,1920,11.185333333333332,
29,pilot,,Dylan,,1,Jessie,27.261,,,sister,names,9,filler,[],1,0,21,Yes,"This study was interesting and quite fun actually, I'd like to do more of these in the future.",2,2,1.50,Female,English,No,White,Chrome,Windows,1080,1920,11.185333333333332,
