"","story","response","n"
"1","fancy restaurant"," steakhouse",2
"2","fancy restaurant","applebees",2
"3","fancy restaurant","chilis",1
"4","fancy restaurant"," big fancy expensive restaurant",1
"5","fancy restaurant"," campsite",1
"6","fancy restaurant"," fancy steakhouse",1
"7","fancy restaurant"," local brewpub",1
"8","fancy restaurant"," local pub",1
"9","fancy restaurant"," patisserie",1
"10","fancy restaurant"," vegan restaurant",1
"11","fancy restaurant","amerigos ",1
"12","fancy restaurant","cafe more",1
"13","fancy restaurant","french laundry",1
"14","fancy restaurant","international smoke",1
"15","fancy restaurant","la bella italia",1
"16","fancy restaurant","la contere",1
"17","fancy restaurant","le pigeon",1
"18","fancy restaurant","legal seafood",1
"19","fancy restaurant","majestics",1
"20","fancy restaurant","manuels",1
"21","fancy restaurant","pascals",1
"22","fancy restaurant","pizza bolis",1
"23","fancy restaurant","ralphs steakhouse",1
"24","fancy restaurant","rich table",1
"25","fancy restaurant","ruth chris steakhouse",1
"26","fancy restaurant","shoneys",1
"27","fancy restaurant","the bad apple",1
"28","fancy restaurant","the ritz",1
"29","fancy restaurant","tonys",1
