"","story","response","n"
"1","high school team","debate ",2
"2","high school team","lacrosse",2
"3","high school team","cheer",1
"4","high school team","chess",1
"5","high school team","communication",1
"6","high school team","diving",1
"7","high school team","great",1
"8","high school team","honor roll",1
"9","high school team","lacross",1
"10","high school team","swimming",1
"11","high school team","track ",1
"12","high school team","varsity",1
"13","high school team","water polo",1
"14","high school team","wrestling",1
"15","high school team","wrestling ",1
