"","story","response","n"
"1","lazy day","exercise",2
"2","lazy day","fish",2
"3","lazy day"," yard work",1
"4","lazy day","cook",1
"5","lazy day","just resf",1
"6","lazy day","laugh",1
"7","lazy day","lounge around",1
"8","lazy day","marquis",1
"9","lazy day","masturbate",1
"10","lazy day","nap",1
"11","lazy day","play  games",1
"12","lazy day","play games",1
"13","lazy day","play guitar  record music",1
"14","lazy day","play videogames",1
"15","lazy day","play videogames ",1
"16","lazy day","playing video games",1
"17","lazy day","ride  bike",1
"18","lazy day","see  girlfriend",1
"19","lazy day","sleep ",1
"20","lazy day","smoke cannabis ",1
"21","lazy day","spend   wife",1
"22","lazy day","surf",1
"23","lazy day","talk",1
"24","lazy day","think",1
"25","lazy day","watch tv",1
"26","lazy day","work   car",1
