"","story","response","n"
"1","restaurant","chilis",2
"2","restaurant"," cheesecake factory",1
"3","restaurant"," favorite restaraunt",1
"4","restaurant"," pub",1
"5","restaurant"," restaurant   street",1
"6","restaurant"," sisters house",1
"7","restaurant"," stakehouse",1
"8","restaurant","amattos",1
"9","restaurant","benihana",1
"10","restaurant","bennigans",1
"11","restaurant","bursbys",1
"12","restaurant","cheesecake factory",1
"13","restaurant","chilis ",1
"14","restaurant","chin moon",1
"15","restaurant","cracker barrel",1
"16","restaurant","dantes",1
"17","restaurant","del friscos",1
"18","restaurant","hibachi joes",1
"19","restaurant","hooters",1
"20","restaurant","kfc",1
"21","restaurant","mothers",1
"22","restaurant","pizza palace",1
"23","restaurant","red robin",1
"24","restaurant","red robins",1
"25","restaurant","steakhouse",1
"26","restaurant","subway",1
"27","restaurant","the fickle pig",1
"28","restaurant","veg",1
"29","restaurant","wafflehouse",1
