"","story","response","n"
"1","blue car","mazda",3
"2","blue car","corolla",1
"3","blue car","corvette",1
"4","blue car","ford focus",1
"5","blue car","honda accord",1
"6","blue car","maserati",1
"7","blue car","accord",1
"8","blue car","bmw",1
"9","blue car","case   snap  ",1
"10","blue car","convertible ",1
"11","blue car","golf cart",1
"12","blue car","hona",1
"13","blue car","jeep",1
"14","blue car","kia",1
"15","blue car","nissan",1
"16","blue car","pickup",1
"17","blue car","remote",1
"18","blue car","sports car",1
"19","blue car","suv",1
"20","blue car","taurus",1
"21","blue car","toyota corola",1
"22","blue car","truck",1
"23","blue car","volkswagen jetta",1
