"","story","response","n"
"1","fancy restaurant","olive garden",4
"2","fancy restaurant","texas roadhouse",1
"3","fancy restaurant","  fancy restaurant",1
"4","fancy restaurant"," favorite restaurant",1
"5","fancy restaurant"," local cinema grill",1
"6","fancy restaurant"," local italian restaurant",1
"7","fancy restaurant"," nice restaurant",1
"8","fancy restaurant"," nice restaurant ",1
"9","fancy restaurant"," oasis",1
"10","fancy restaurant"," twin crab",1
"11","fancy restaurant","bubba gump",1
"12","fancy restaurant","camerons",1
"13","fancy restaurant","chez renee",1
"14","fancy restaurant","guiseppis",1
"15","fancy restaurant","hometown buffet",1
"16","fancy restaurant","italian restaurant",1
"17","fancy restaurant","la madeline",1
"18","fancy restaurant","local restraunt",1
"19","fancy restaurant","lombardos",1
"20","fancy restaurant","mastros",1
"21","fancy restaurant","mcdonalds",1
"22","fancy restaurant","movies",1
"23","fancy restaurant","red lobsters",1
"24","fancy restaurant","restaurant ",1
"25","fancy restaurant","ruths chris steakhouse",1
"26","fancy restaurant","sea lovers delight",1
"27","fancy restaurant","stellas",1
"28","fancy restaurant","texas road house",1
"29","fancy restaurant","the french laundry",1
"30","fancy restaurant","the villa",1
