"","story","response","n"
"1","food","chinese",2
"2","food","bibimbap",1
"3","food","breakfast",1
"4","food","cheesesteak",1
"5","food","chicken wings",1
"6","food","chinese food",1
"7","food","falafel",1
"8","food","fries",1
"9","food","ham",1
"10","food","ham  cheese",1
"11","food","hamburgers",1
"12","food","korean barbecue",1
"13","food","lemon chicken",1
"14","food","mozarella sticks",1
"15","food","oatmeal ",1
"16","food","peter",1
"17","food","pho",1
"18","food","poutine",1
"19","food","snacks",1
"20","food","spaghetti",1
"21","food","steak",1
"22","food","sunflower seeds",1
"23","food","tex mex",1
"24","food","vegan pizza",1
"25","food","wings",1
