"","story","response","n"
"1","genre","country",4
"2","genre","pop",3
"3","genre","classic rock",2
"4","genre","ska",2
"5","genre","adele",1
"6","genre","ariana grande",1
"7","genre","chillhop",1
"8","genre","classic rock ",1
"9","genre","clutch",1
"10","genre","fast music",1
"11","genre","gabber",1
"12","genre","hawaiian ",1
"13","genre","indie",1
"14","genre","indie folk",1
"15","genre","jazz funk",1
"16","genre","lofi beats",1
"17","genre","nine inch nails",1
"18","genre","psy trance",1
"19","genre","rock  roll",1
"20","genre","roger",1
"21","genre","sea shanties ",1
"22","genre","taylor swift",1
