"","story","response","n"
"1","gray car","chevy",2
"2","gray car","corolla",2
"3","gray car","mustang",2
"4","gray car","acura",1
"5","gray car","chevrolet",1
"6","gray car","civiv",1
"7","gray car","corvette",1
"8","gray car","focus",1
"9","gray car","ford focus",1
"10","gray car","ford taurus",1
"11","gray car","giant vehicle",1
"12","gray car","honda accord",1
"13","gray car","junk heap",1
"14","gray car","late model sedan",1
"15","gray car","maserati",1
"16","gray car","mercedesbenz",1
"17","gray car","sedan ",1
"18","gray car","toyota camry",1
