"","story","response","n"
"1","high school team","tennis",2
"2","high school team","golf",1
"3","high school team","archery",1
"4","high school team","blue",1
"5","high school team","cheerleading",1
"6","high school team","dance",1
"7","high school team","dream",1
"8","high school team","dylan",1
"9","high school team","fencing",1
"10","high school team","football ",1
"11","high school team","hockey",1
"12","high school team","jrotc",1
"13","high school team","kendo",1
"14","high school team","swim",1
"15","high school team","varsity soccer",1
"16","high school team","volleyball",1
"17","high school team","work",1
