"","story","response","n"
"1","restaurant"," restaurant",4
"2","restaurant"," steakhouse",3
"3","restaurant","outback",2
"4","restaurant"," diner",1
"5","restaurant"," double r diner",1
"6","restaurant"," fancy restaurant",1
"7","restaurant"," favorite chinese restaurant",1
"8","restaurant"," friends",1
"9","restaurant"," italian restaurant",1
"10","restaurant"," local pizza shop",1
"11","restaurant"," new seafood restaurant",1
"12","restaurant"," outback steak house",1
"13","restaurant"," y",1
"14","restaurant","amis",1
"15","restaurant","cheddars",1
"16","restaurant","chipotle",1
"17","restaurant","cookout",1
"18","restaurant","dannys",1
"19","restaurant","giordanos",1
"20","restaurant","his favorite restaurant",1
"21","restaurant","hunan",1
"22","restaurant","hunan lion",1
"23","restaurant","in n out",1
"24","restaurant","jacks",1
"25","restaurant","johns",1
"26","restaurant","josephs",1
"27","restaurant","korean bbq",1
"28","restaurant","mexican",1
"29","restaurant","panera bread",1
"30","restaurant","paul",1
"31","restaurant","pietros",1
"32","restaurant","primanti brothers",1
"33","restaurant","rebeccas",1
"34","restaurant","smokin embers bbq",1
"35","restaurant","sonic",1
"36","restaurant","steak  shake",1
"37","restaurant","taco bell",1
"38","restaurant","texas roadhouse",1
"39","restaurant","thai essence",1
"40","restaurant","tonys",1
