id,intro_sentence,crit_sentence,race,bias,race_consistency,crit_word,comp_question,answer,evoke/repress pair?
jail,It had been a while since FIRST had visited his cousin.,FIRST decided to go visit him at the local college which was just a short drive away.,white,white,white_consistent,college,Was he going to visit his brother?,No,
jail,It had been a while since FIRST had visited his cousin.,FIRST decided to go visit him at the local college which was just a short drive away.,black,white,black_inconsistent,college,Was he going to visit his brother?,No,
jail,It had been a while since FIRST had visited his cousin.,FIRST decided to go visit him at the local jail which was just a short drive away.,black,black,black_consistent,jail,Was he going to visit his brother?,No,
jail,It had been a while since FIRST had visited his cousin.,FIRST decided to go visit him at the local jail which was just a short drive away.,white,black,white_inconsistent,jail,Was he going to visit his brother?,No,
stealing,FIRST could&rsquo;t contain his excitement as he opened the new pair of shoes.,FIRST had just bought them and was excited to wear them to see his friends.,white,white,white_consistent,bought,Was he happy with his new shoes?,Yes,
stealing,FIRST could&rsquo;t contain his excitement as he opened the new pair of shoes.,FIRST had just bought them and was excited to wear them to see his friends.,black,white,black_inconsistent,bought,Was he happy with his new shoes?,Yes,
stealing,FIRST could&rsquo;t contain his excitement as he opened the new pair of shoes.,FIRST had just stolen them and was excited to wear them to see his friends.,black,black,black_consistent,stolen,Was he happy with his new shoes?,Yes,
stealing,FIRST could&rsquo;t contain his excitement as he opened the new pair of shoes.,FIRST had just stolen them and was excited to wear them to see his friends.,white,black,white_inconsistent,stolen,Was he happy with his new shoes?,Yes,
violence,"After getting a text about his brother, FIRST hopped in his car to go pick him up.","His brother had a reputation for getting lost, so FIRST knew he had to rush to make sure he didn&rsquo;t get in trouble.",white,white,white_consistent,"lost,",Did he walk to go find his brother?,No,
violence,"After getting a text about his brother, FIRST hopped in his car to go pick him up.","His brother had a reputation for getting lost, so FIRST knew he had to rush to make sure he didn&rsquo;t get in trouble.",black,white,black_inconsistent,"lost,",Did he walk to go find his brother?,No,
