id,intro_sentence,crit_sentence,race,bias,race_consistency,crit_word,comp_question,answer,pre_crit_2,pre_crit_1,spillover_1,spillover_2,spillover_3,spillover_4
jail,It had been a while since FIRST had visited his cousin.,"FIRST decided to go visit him at the local college in a few days, which was just a short drive away.",white,white,white_consistent,college,Was he going to visit his brother?,No,the,local,in,a,few,"days,"
jail,It had been a while since FIRST had visited his cousin.,"FIRST decided to go visit him at the local college in a few days, which was just a short drive away.",black,white,black_inconsistent,college,Was he going to visit his brother?,No,the,local,in,a,few,"days,"
jail,It had been a while since FIRST had visited his cousin.,"FIRST decided to go visit him at the local jail in a few days, which was just a short drive away.",black,black,black_consistent,jail,Was he going to visit his brother?,No,the,local,in,a,few,"days,"
jail,It had been a while since FIRST had visited his cousin.,"FIRST decided to go visit him at the local jail in a few days, which was just a short drive away.",white,black,white_inconsistent,jail,Was he going to visit his brother?,No,the,local,in,a,few,"days,"
stealing,FIRST could&rsquo;t contain his excitement as he opened the new pair of shoes.,FIRST had just bought them yesterday and was excited to wear them to see his friends.,white,white,white_consistent,bought,Was he happy with his new shoes?,Yes,had,just,them,yesterday,,
stealing,FIRST could&rsquo;t contain his excitement as he opened the new pair of shoes.,FIRST had just bought them yesterday and was excited to wear them to see his friends.,black,white,black_inconsistent,bought,Was he happy with his new shoes?,Yes,had,just,them,yesterday,,
stealing,FIRST could&rsquo;t contain his excitement as he opened the new pair of shoes.,FIRST had just stolen them yesterday and was excited to wear them to see his friends.,black,black,black_consistent,stolen,Was he happy with his new shoes?,Yes,had,just,them,yesterday,,
stealing,FIRST could&rsquo;t contain his excitement as he opened the new pair of shoes.,FIRST had just stolen them yesterday and was excited to wear them to see his friends.,white,black,white_inconsistent,stolen,Was he happy with his new shoes?,Yes,had,just,them,yesterday,,
violence,"After getting a text about his brother, FIRST hopped in his car to go pick him up.","FIRST&rsquo;s brother had a reputation for getting lost a lot, so FIRST knew he had to rush to make sure he didn&rsquo;t get in trouble.",white,white,white_consistent,lost,Did he walk to go find his brother?,No,for,getting,a,"lot,",,
violence,"After getting a text about his brother, FIRST hopped in his car to go pick him up.","FIRST&rsquo;s brother had a reputation for getting lost a lot, so FIRST knew he had to rush to make sure he didn&rsquo;t get in trouble.",black,white,black_inconsistent,lost,Did he walk to go find his brother?,No,for,getting,a,"lot,",,
violence,"After getting a text about his brother, FIRST hopped in his car to go pick him up.","FIRST&rsquo;s brother had a reputation for getting violent a lot, so FIRST knew he had to rush to make sure he didn&rsquo;t get in trouble.",black,black,black_consistent,violent,Did he walk to go find his brother?,No,for,getting,a,"lot,",,
violence,"After getting a text about his brother, FIRST hopped in his car to go pick him up.","FIRST&rsquo;s brother had a reputation for getting violent a lot, so FIRST knew he had to rush to make sure he didn&rsquo;t get in trouble.",white,black,white_inconsistent,violent,Did he walk to go find his brother?,No,for,getting,a,"lot,",,
mugging,Passing his childhood park brought back a lot of memories for FIRST.,"FIRST used to play with friends there all the time, but had&rsquo;t gone back since he drove a classmate there in high school.",white,white,white_consistent,drove,Had it been a while since he went to that park?,Yes,since,he,a,classmate,there,
mugging,Passing his childhood park brought back a lot of memories for FIRST.,"FIRST used to play with friends there all the time, but had&rsquo;t gone back since he drove a classmate there in high school.",black,white,black_inconsistent,drove,Had it been a while since he went to that park?,Yes,since,he,a,classmate,there,
mugging,Passing his childhood park brought back a lot of memories for FIRST.,"FIRST used to play with friends there all the time, but had&rsquo;t gone back since he mugged a classmate there in high school.",black,black,black_consistent,mugged,Had it been a while since he went to that park?,Yes,since,he,a,classmate,there,
mugging,Passing his childhood park brought back a lot of memories for FIRST.,"FIRST used to play with friends there all the time, but had&rsquo;t gone back since he mugged a classmate there in high school.",white,black,white_inconsistent,mugged,Had it been a while since he went to that park?,Yes,since,he,a,classmate,there,
shooting,"As he drove to visit his mom, FIRST made sure to avoid Main St..","FIRST remembered hearing about a recent pothole on Main St., and wanted to avoid the hazard.",white,white,white_consistent,pothole,Was he going to drive down Main St.?,No,a,recent,on,Main,"St.,",
shooting,"As he drove to visit his mom, FIRST made sure to avoid Main St..","FIRST remembered hearing about a recent pothole on Main St., and wanted to avoid the hazard.",black,white,black_inconsistent,pothole,Was he going to drive down Main St.?,No,a,recent,on,Main,"St.,",
shooting,"As he drove to visit his mom, FIRST made sure to avoid Main St..","FIRST remembered hearing about a recent shooting on Main St., and wanted to avoid the hazard.",black,black,black_consistent,shooting,Was he going to drive down Main St.?,No,a,recent,on,Main,"St.,",
shooting,"As he drove to visit his mom, FIRST made sure to avoid Main St..","FIRST remembered hearing about a recent shooting on Main St., and wanted to avoid the hazard.",white,black,white_inconsistent,shooting,Was he going to drive down Main St.?,No,a,recent,on,Main,"St.,",
gang/police,"The more FIRST learned about his neighbor, the less he liked him.",FIRST didn&rsquo;t really want to live next door to a policeman at the moment.,white,white,white_consistent,policeman,Was he unhappy living next to his neighbor?,Yes,to,a,at,the,moment.,
gang/police,"The more FIRST learned about his neighbor, the less he liked him.",FIRST didn&rsquo;t really want to live next door to a policeman at the moment.,black,white,black_inconsistent,policeman,Was he unhappy living next to his neighbor?,Yes,to,a,at,the,moment.,
gang/police,"The more FIRST learned about his neighbor, the less he liked him.",FIRST didn&rsquo;t really want to live next door to a gangbanger at the moment.,black,black,black_consistent,gangbanger,Was he unhappy living next to his neighbor?,Yes,to,a,at,the,moment.,
gang/police,"The more FIRST learned about his neighbor, the less he liked him.",FIRST didn&rsquo;t really want to live next door to a gangbanger at the moment.,white,black,white_inconsistent,gangbanger,Was he unhappy living next to his neighbor?,Yes,to,a,at,the,moment.,
gang,"FIRST missed his uncle, and thought about him a lot.",FIRST had&rsquo;t been in touch since joining a cult last summer.,white,white,white_consistent,cult,Had he been speaking to his uncle a lot recently?,No,joining,a,last,summer.,,
gang,"FIRST missed his uncle, and thought about him a lot.",FIRST had&rsquo;t been in touch since joining a cult last summer.,black,white,black_inconsistent,cult,Had he been speaking to his uncle a lot recently?,No,joining,a,last,summer.,,
gang,"FIRST missed his uncle, and thought about him a lot.",FIRST had&rsquo;t been in touch since joining a gang last summer.,black,black,black_consistent,gang,Had he been speaking to his uncle a lot recently?,No,joining,a,last,summer.,,
gang,"FIRST missed his uncle, and thought about him a lot.",FIRST had&rsquo;t been in touch since joining a gang last summer.,white,black,white_inconsistent,gang,Had he been speaking to his uncle a lot recently?,No,joining,a,last,summer.,,
aggression,"When FIRST walked into the corner store, he noticed a couple of people glare at him.","FIRST was known as sweaty by the locals, so he wasn&rsquo;t too surprised that they avoided him.",white,white,white_consistent,sweaty,Did he walk into the corner store?,Yes,known,as,by,the,"locals,",
aggression,"When FIRST walked into the corner store, he noticed a couple of people glare at him.","FIRST was known as sweaty by the locals, so he wasn&rsquo;t too surprised that they avoided him.",black,white,black_inconsistent,sweaty,Did he walk into the corner store?,Yes,known,as,by,the,"locals,",
